Borough,Neighborhood,Latitude,Longitude
"Scarborough, Toronto","Rouge, Toronto, Malvern, Toronto",43.806686299999996,-79.19435340000001
"Scarborough, Toronto","Highland Creek (Toronto), Rouge Hill, Port Union, Toronto",43.7845351,-79.16049709999999
"Scarborough, Toronto","Guildwoo, Morningside, Toronto, West Hill, Toronto",43.7635726,-79.1887115
"Scarborough, Toronto","Woburn, Toronto",43.7709921,-79.21691740000001
"Scarborough, Toronto",Cedarbra,43.773136,-79.23947609999999
"Scarborough, Toronto",Scarborough Village,43.7447342,-79.23947609999999
"Scarborough, Toronto","East Birchmount Par, Ionview, Kennedy Park, Toronto",43.7279292,-79.26202940000002
"Scarborough, Toronto","Clairlea, Golden Mile, Toronto, Oakridge, Toronto",43.711111700000004,-79.2845772
"Scarborough, Toronto","Cliffcrest, Cliffside, Toronto, Scarborough Village Wes",43.716316,-79.23947609999999
"Scarborough, Toronto","Birch Cliff, Cliffside Wes",43.692657000000004,-79.2648481
"Scarborough, Toronto","Dorset Park, Scarborough Town Centre, Wexford Heights",43.7574096,-79.27330400000001
"Scarborough, Toronto","Maryvale, Toronto, Wexford, Toronto",43.750071500000004,-79.2958491
"Scarborough, Toronto","Agincourt, Toronto",43.7942003,-79.26202940000002
"Scarborough, Toronto","Clarks Corner, Sulliva, Tam O'Shanter – Sullivan",43.7816375,-79.3043021
"Scarborough, Toronto","Agincourt North, L'Amoreaux Eas, Milliken, Ontario, Steeles Eas",43.8152522,-79.2845772
"Scarborough, Toronto",L'Amoreaux Wes,43.799525200000005,-79.3183887
"Scarborough, Toronto",Upper Rouge,43.836124700000006,-79.20563609999999
North York,Hillcrest Village,43.8037622,-79.3634517
North York,"Fairvie, Henry Farm, Oriol",43.7785175,-79.3465557
North York,Bayview Village,43.7869473,-79.385975
North York,"Silver Hill, York Mills",43.7574902,-79.37471409999999
North York,"Newtonbrook, Willowdale, Toronto",43.789053,-79.40849279999999
North York,Willowdale Sout,43.7701199,-79.40849279999999
North York,York Mills Wes,43.752758299999996,-79.4000493
North York,Willowdale West,43.7827364,-79.4422593
North York,Parkwoods,43.7532586,-79.3296565
North York,Don Mills Nort,43.745905799999996,-79.352188
