PostalCode,Borough,Neighborhood
M1B,"Scarborough, Toronto","Rouge, Toronto, Malvern, Toronto"
M1C,"Scarborough, Toronto","Highland Creek (Toronto), Rouge Hill, Port Union, Toronto"
M1E,"Scarborough, Toronto","Guildwoo, Morningside, Toronto, West Hill, Toronto"
M1G,"Scarborough, Toronto","Woburn, Toronto"
M1H,"Scarborough, Toronto",Cedarbra
M1J,"Scarborough, Toronto",Scarborough Village
M1K,"Scarborough, Toronto","East Birchmount Par, Ionview, Kennedy Park, Toronto"
M1L,"Scarborough, Toronto","Clairlea, Golden Mile, Toronto, Oakridge, Toronto"
M1M,"Scarborough, Toronto","Cliffcrest, Cliffside, Toronto, Scarborough Village Wes"
M1N,"Scarborough, Toronto","Birch Cliff, Cliffside Wes"
M1P,"Scarborough, Toronto","Dorset Park, Scarborough Town Centre, Wexford Heights"
M1R,"Scarborough, Toronto","Maryvale, Toronto, Wexford, Toronto"
M1S,"Scarborough, Toronto","Agincourt, Toronto"
M1T,"Scarborough, Toronto","Clarks Corner, Sulliva, Tam O'Shanter – Sullivan"
M1V,"Scarborough, Toronto","Agincourt North, L'Amoreaux Eas, Milliken, Ontario, Steeles Eas"
M1W,"Scarborough, Toronto",L'Amoreaux Wes
M1X,"Scarborough, Toronto",Upper Rouge
M2H,North York,Hillcrest Village
M2J,North York,"Fairvie, Henry Farm, Oriol"
M2K,North York,Bayview Village
M2L,North York,"Silver Hill, York Mills"
M2M,North York,"Newtonbrook, Willowdale, Toronto"
M2N,North York,Willowdale Sout
M2P,North York,York Mills Wes
M2R,North York,Willowdale West
M3A,North York,Parkwoods
M3B,North York,Don Mills Nort
M3C,North York,"Flemingdon Park, Don Mills Sout"
M3H,North York,"Bathurst Manor, Downsview Nort, Wilson Heights, Toronto"
M3J,North York,"Northwood Park, York University"
M3K,North York,"CFB Toronto, Downsview Eas"
M3L,North York,Downsview
M3M,North York,Downsview Centra
M3N,North York,Downsview Northwes
M4A,North York,Victoria Village
M4B,East York,"Woodbine Gardens, Parkview Hill"
M4C,East York,Woodbine Heights
M4E,East Toronto,The Beaches
M4G,East York,Leaside
M4H,East York,Thorncliffe Park
M4J,East York,East Toronto
M4K,East Toronto,"The Danforth Wes, Riverdale, Toronto"
M4L,East Toronto,"The Beaches Wes, India Bazaar"
M4M,East Toronto,Studio Distric
M4N,Central Toronto,"Lawrence Park, Toronto"
M4P,Central Toronto,Davisville Nort
M4R,Central Toronto,North Toronto Wes
M4S,Central Toronto,Davisvill
M4T,Central Toronto,"Moore Park, Toronto, Summerhill Eas"
M4V,Central Toronto,"Deer Park, Toronto, Forest Hill S, Rathnelly, South Hill, Toronto, Summerhill Wes"
M4W,Downtown Toronto,"Rosedale, Toronto"
M4X,Downtown Toronto,"Cabbagetown, Toronto, St. James Town"
M4Y,Downtown Toronto,Church and Wellesley
M5A,Downtown Toronto,"Harbourfront (Toronto), Regent Park"
M5B,Downtown Toronto,"Ryerso, Garden Distric"
M5C,Downtown Toronto,St. James Town
M5E,Downtown Toronto,Berczy Park
M5G,Downtown Toronto,Central Bay Stree
M5H,Downtown Toronto,"Adelaid, Kin, Richmon"
